nom_estab,codigo_act,nombre_act,alcaldia,latitud,longitud,sector_v1
DIF AJUSCO CENTRO DE BIENESTAR SOCIAL Y URBANO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Coyoacán,19.32074231,-99.15955356,público
DIF REPUBLICA ESPAÑOLA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Cuauhtémoc,19.45129552,-99.13205416,público
ESPACIO INTERACTIVO EN SALUD PARA JOVENES IMPULSO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Cuauhtémoc,19.43345351,-99.12689211,público
ESPACIO SI RESILIO PONIENTE,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.34398894,-99.03045608,público
ESTACIONAMIENTO DIF,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Benito Juárez,19.36576197,-99.16009193,público
ESTANCIA DE LA SABIDURIA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.48206547,-99.10330759,público
ESTANCIA INFANTIL AJUSCO MONSERRAT,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Coyoacán,19.32322819,-99.15749299,público
FARO DEL SABER DE CIENCIA Y TECNOLOGIA DE LEGARIA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.44783462,-99.20470666,público
FARO DEL SABER ESCANDON,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.40317844,-99.17786648,público
INSTITUTO DE LA JUVENTUD DE LA CIUDAD DE MEXICO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.44927106,-99.17166314,público
INSTITUTO DE LA JUVENTUD DE LA CIUDAD DE MEXICO CENTRO CULTURAL NEWS DIVINE,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.49999663,-99.08854087,público
INSTITUTO NACIONAL DE INAPAM LAS PERSONAS MAYORES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Venustiano Carranza,19.44505435,-99.08612033,público
INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES INAPAM,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.55074219,-99.14826187,público
JEFE DE UNIDAD DEPARTAMENTAL DE CENTROS GENERADORES DEL BOSQUE,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tláhuac,19.28200044,-99.05045948,público
JUD DE REHABILITACION JOSE MORAN,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.40905051,-99.19037549,público
MODULO COMPOSITORES MEXICANOS,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.56739502,-99.14047661,público
MODULO COMUNITARIO KOSAMALOTL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Xochimilco,19.26439754,-99.11611754,público
MODULO DE ATENCION CIUDADANA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38820992,-99.21549497,público
MODULO DE ATENCION CIUDADANA DE LA CIUDAD DE MEXICO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.32836876,-99.02380902,público
MODULO DE ATENCION Y ORIENTACION Y QUEJAS CIUDADANAS LISETTE CLAVEL SANCHEZ PRIMERA LEGISLATURA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.45474034,-99.18504353,público
MODULO DE PARTICIPACION CIUDADANA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.32901832,-99.05609617,público
MODULO DE PARTICIPACION CIUDADANA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Cuauhtémoc,19.44709621,-99.14177947,público
MODULO DE PARTICIPACION CIUDADANA DEL GOBIERNO DE LA CIUDAD DE MEXICO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tlalpan,19.28593555,-99.19052736,público
MODULO DE PARTICIPACION CIUDADANA IZP 37,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.33731061,-98.9864006,público
MODULO DE PARTICIPACION CIUDADANA IZP57,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.35302308,-99.02656388,público
MODULO IZP 31,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.33651094,-98.9892476,público
MODULO LEGISLATIVO DE ATENCION Y ORIENTACION QUEJAS CIUDADANAS Y APOYO DE ACCESO DE LAS MUJERES A UNA VIDA LIBRE DE VIOLENCIA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Azcapotzalco,19.46513541,-99.16326452,público
PARQUE LOMAS DE BECERRA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38436753,-99.21552195,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,La Magdalena Contreras,19.31046198,-99.26491033,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38900993,-99.2006409,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tláhuac,19.29456934,-99.01414922,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38028096,-99.24963944,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.49680264,-99.09062855,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.36887868,-99.1308511,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.38068058,-99.11508491,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.48379949,-99.07093515,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.46667179,-99.06572722,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.46301813,-99.05812421,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.47788803,-99.06997353,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.46288098,-99.11378842,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.53987341,-99.13419588,público
PILARES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztacalco,19.41537646,-99.06844017,público
